date,isolation_beds,occupied_beds,vacant_beds
2020-08-01,466,218,218
2020-08-02,466,220,220
2020-08-03,466,232,232
2020-08-04,466,255,255
2020-08-05,466,277,277
2020-08-06,466,290,290
2020-08-07,516,275,275
2020-08-08,516,263,263
2020-08-09,516,274,274
2020-08-10,516,246,246
2020-08-11,516,247,247
2020-08-12,516,251,251
2020-08-13,516,214,214
2020-09-07,1039,248,248
2020-09-08,1039,249,249
2020-09-09,1039,247,247
2020-09-10,1039,251,251
2020-09-11,1039,247,247
2020-09-12,1039,229,229
2020-09-13,1039,232,232
2020-09-14,1039,213,213
2020-09-14,1039,203,203
2020-09-16,1039,195,195
2020-09-17,1039,173,173
2020-09-18,1039,164,164
2020-09-19,1039,155,155
2020-09-20,1039,148,148
2020-09-21,1039,152,152
2020-09-22,1039,160,160
2020-09-23,1039,166,166
2020-09-24,1039,189,189
2020-09-25,1039,179,179
2020-09-26,1039,171,171
2020-09-27,1039,188,188
2020-09-28,1039,168,168
2020-09-29,1039,181,181
2020-09-30,1039,174,174
2020-10-01,1039,172,172
2020-10-02,1039,174,174
2020-10-03,1039,173,173
2020-10-04,1039,182,182
2020-10-05,1039,186,186
2020-10-06,1039,180,180
2020-10-07,987,185,185
2020-10-08,987,190,190
2020-10-09,987,197,197
2020-10-10,987,193,193
2020-10-11,987,186,186
2020-10-12,987,198,198
2020-10-13,987,199,199
2020-10-14,987,195,195
2020-10-15,987,190,190
2020-10-16,987,185,185
2020-10-17,987,179,179
2020-10-18,987,184,184
2020-10-19,987,178,178
2020-10-20,987,183,183
2020-10-21,987,199,199
2020-10-22,987,190,190
2020-10-23,1037,204,204
2020-10-24,1037,199,199
2020-10-25,1037,204,204
2020-10-26,1037,198,198
2020-10-27,1037,197,197
2020-10-28,1037,192,192
2020-10-29,1037,192,192
2020-10-30,1037,182,182
2020-10-31,1037,173,173
2020-11-01,1037,168,168
2020-11-02,1037,160,160
2020-11-03,1037,159,159
2020-11-04,1037,166,166
2020-11-05,1037,168,168
2020-11-06,1037,166,166
2020-11-07,1037,175,175
2020-11-08,1037,169,169
2020-11-09,1037,164,164
2020-11-10,1037,162,162
2020-11-11,1037,167,167
2020-11-12,1037,164,164
2020-11-13,1037,153,153
2020-11-14,1037,151,151
2020-11-15,1037,145,145
2020-11-16,1037,150,150
2020-11-17,1037,150,150
2020-11-18,1037,154,154
2020-11-19,1037,145,145
2020-11-20,1037,148,148
2020-11-21,1037,142,142
2020-11-22,1037,140,140
2020-11-23,1037,142,142
2020-11-24,1037,142,142
2020-11-25,1037,137,137
2020-11-26,1037,130,130
2020-11-27,1037,120,120
2020-11-28,1037,119,119
2020-11-29,1037,106,106
2020-11-30,1037,99,99
2020-12-01,1037,91,91
2020-12-02,1037,79,79
2020-12-03,1037,71,71
2020-12-04,1037,70,70
2020-12-05,1037,70,70
2020-12-06,1037,73,73
2020-12-07,1037,81,81
2020-12-08,1037,70,70
2020-12-09,1037,75,75
2020-12-10,1037,78,78
2020-12-11,1037,78,78
2020-12-12,1037,79,79
2020-12-13,1037,84,84
2020-12-14,1037,92,92
2020-12-15,1037,93,93
2020-12-16,1037,91,91
2020-12-17,1037,92,92
2020-12-18,1037,96,96
2020-12-19,1037,95,95
2020-12-20,1037,88,88
2020-12-21,1037,86,86
2020-12-22,1037,82,82
2020-12-23,1037,73,73
2020-12-24,1037,64,64
2020-12-25,1037,69,69
2020-12-26,1037,61,61
2020-12-27,1037,64,64
2020-12-28,1037,64,64
2020-12-29,1037,63,63
2020-12-30,1037,59,59
2020-12-31,1037,57,57
2021-01-01,1037,54,54
2021-01-02,1037,48,48
2021-01-03,1037,40,40
2021-01-04,1037,38,38
2021-01-05,1037,31,31
2021-01-04,1037,38,38
2021-01-05,1037,31,31
2021-01-06,1037,28,28
2021-01-07,1037,32,32
2021-01-08,1037,31,31
2021-01-09,1037,24,24
2021-01-10,1037,23,23
2021-01-11,1037,17,17
2021-01-12,1037,18,18
2021-01-12,1037,16,16
2021-01-14,1037,23,23
2021-01-15,1037,22,22
2021-01-16,1037,25,25
2021-01-17,1037,25,25
2021-01-18,1037,29,29
2021-01-19,1037,30,30
2021-01-20,1037,29,29
2021-01-21,1037,25,25
2021-01-22,1037,23,23
2021-01-23,1037,24,24
2021-01-24,1037,23,23
2021-01-25,1037,15,15
2021-01-25,1037,15,15
2021-01-27,1037,10,10
2021-01-28,1037,8,8
2021-01-29,1037,5,5
2021-01-30,1037,4,4
2021-01-31,1037,4,4
2021-02-01,1037,0,0
2021-02-02,1037,0,0
2021-02-03,1037,0,0
2021-02-05,1037,3,3
2021-02-06,1037,6,6
2021-02-07,1037,7,7
2021-02-08,1037,11,11
2021-02-09,1037,13,13
2021-02-09,1037,13,13
2021-02-10,1037,13,13
2021-02-11,1037,13,13
2021-02-12,1037,11,11
2021-02-13,1037,9,9
2021-02-14,1037,9,9
2021-02-15,1037,9,9
2021-02-16,1037,8,8
2021-02-17,1037,8,8
2021-02-18,1037,8,8
2021-02-19,1037,4,4
2021-02-20,1037,3,3
2021-02-21,1037,3,3
2021-02-22,1037,4,4
2021-02-23,1037,5,5
2021-02-24,1037,4,4
2021-02-25,1037,2,2
2021-02-26,1037,3,3
2021-02-27,1037,4,4
2021-02-28,1037,6,6
2021-03-01,1037,6,6
2021-03-02,1037,6,6
2021-03-03,1037,8,8
2021-03-04,1037,9,9
2021-03-05,1037,8,8
2021-03-06,1037,7,7
2021-03-07,1037,7,7
2021-03-08,1037,7,7
2021-03-09,1037,8,8
2021-03-10,1037,6,6
2021-03-11,1037,6,6
2021-03-12,1037,6,6
2021-03-13,1037,4,4
2021-03-14,1037,5,5
2021-03-15,1037,3,3
2021-03-16,1037,3,3
2021-03-17,1037,6,6
2021-03-18,1037,5,5
2021-03-19,1037,7,7
2021-03-20,1037,7,7
2021-03-21,1037,8,8
2021-03-22,1037,8,8
2021-03-23,1037,5,5
2021-03-24,1037,6,6
2021-03-25,1037,6,6
2021-03-26,1037,7,7
2021-03-27,1037,7,7
2021-03-28,1037,8,8
2021-03-29,1037,14,14
2021-03-30,1037,43,43
2021-03-31,1037,45,45
2021-04-01,1037,42,42
2021-04-02,1037,41,41
2021-04-03,1037,49,49
2021-04-04,1037,57,57
2021-04-05,1037,53,53
2021-04-06,1037,51,51
2021-04-07,1037,49,49
2021-04-08,1037,60,60
2021-04-09,1037,71,71
2021-04-10,1037,75,75
2021-04-11,1037,88,88
2021-04-12,1037,89,89
2021-04-13,1037,93,93
2021-04-14,1037,106,106
2021-04-15,1037,117,117
2021-04-16,1037,116,116
2021-04-17,1037,121,121
2021-04-17,1037,121,121
2021-04-18,1037,126,126
2021-04-19,1037,145,145
2021-04-20,1037,159,159
2021-04-21,1037,150,150
2021-04-22,1037,153,153
2021-04-23,1122,146,146
2021-04-24,1122,138,138
2021-04-25,5867,132,5735
2021-04-26,5867,130,5737
2021-04-27,6348,136,6212
2021-04-28,6376,143,6233
2021-04-29,6376,165,6211
2021-04-30,6376,181,6195
2021-05-01,6376,205,6171
2021-05-02,6376,217,6159
2021-05-03,6376,230,6146
2021-05-04,6376,232,6144
2021-05-05,6376,224,6152
2021-05-13,6376,214,6162
2021-06-08,6376,94,6282
2021-07-06,6376,16,6360
2021-07-14,6376,11,6365
2021-07-17,6376,16,6360
2021-07-21,6376,18,6358
2021-07-31,6376,8,6368
2021-08-07,6376,6,6370
2021-09-23,6376,17,6359
2021-11-02,6376,10,6366
2021-11-12,6376,9,6367
2021-11-14,6376,11,6365
2021-11-26,6376,3,6373
2021-11-27,6376,5,6371
2021-11-28,6376,6,6370
2021-11-29,6376,8,6368
2021-11-30,6376,6,6370
2021-12-01,6376,5,6371
2021-12-02,6376,7,6369
2021-12-03,6376,8,6368
2021-12-04,6376,6,6370
2021-12-05,6376,4,6372
2021-12-06,6376,3,6373
2021-12-07,6376,3,6373
2021-12-08,6376,3,6373
2021-12-09,6376,6,6370
2021-12-10,6376,8,6368
2021-12-11,6376,7,6369
2021-12-12,6376,8,6368
2021-12-13,6376,7,6369
2021-12-14,6376,5,6371
2021-12-15,6376,3,6373
2021-12-16,6376,3,6373
2021-12-17,6376,2,6374
2021-12-19,6376,3,6373
2021-12-19,6376,3,6373
2021-12-20,6376,3,6373
2021-12-21,6376,3,6373
2021-12-22,6376,3,6373
2021-12-23,6376,6,6370
2021-12-24,6376,8,6368
2021-12-25,6376,9,6367
2021-12-26,6376,9,6367
2021-12-27,6376,8,6368
2021-12-28,6376,7,6369
2021-12-29,6376,6,6370
2021-12-30,6376,9,6367
2021-12-31,6376,14,6362
2022-01-01,6376,17,6359
2022-01-02,6376,24,6352
2022-01-03,6376,41,6335
2022-01-04,6376,74,6302
2022-01-05,6376,91,6385
2022-01-06,6376,105,6271
2022-01-07,6376,132,6244
2022-01-08,6376,187,6189
2022-01-09,6376,322,6054
2022-01-11,6376,412,5964
2022-01-11,6376,412,5964
2022-01-12,6376,479,5897
2022-01-13,6376,461,5911
2022-01-14,6376,70,6306
2022-01-15,6376,70,6306
2022-01-16,6376,70,6306
2022-01-17,6376,64,6312
